Fit Function: TMath::Sqrt(A*A/p/p + B*B)
eta	 theta(deg)	 phi(deg)	 A(mrad*GeV/c)	 A_error(mrad*GeV/c)	 B(mrad)	 B_error(mrad)
-1.90 -1.50	 1.55478	 0.00199	 0.07303	 0.00033
-2.10 -1.90	 1.87628	 0.00266	 0.06926	 0.00043
-2.30 -2.10	 1.46848	 0.00197	 0.04872	 0.00032
-2.50 -2.30	 1.32076	 0.00194	 0.07509	 0.00024
-2.70 -2.50	 1.32949	 0.00244	 0.08976	 0.00027
-2.90 -2.70	 0.74853	 0.00198	 0.12466	 0.00019
-3.10 -2.90	 0.19174	 0.00078	 0.12507	 0.00013
-3.30 -3.10	 0.13527	 0.00061	 0.08524	 0.00010
-3.50 -3.30	 0.30369	 0.00056	 0.04715	 0.00008
