
Processing dconfig-jaydeep.C...
<p> =    0.375 [GeV/c], <eta> =  -2.35 -> dtheta:  2.9848, dphi:  3.6939
<p> =    0.425 [GeV/c], <eta> =  -2.35 -> dtheta:  2.6340, dphi:  3.2597
<p> =    0.425 [GeV/c], <eta> =  -2.35 -> dtheta:  2.6340, dphi:  3.2597
<p> =    0.475 [GeV/c], <eta> =  -2.35 -> dtheta:  2.3571, dphi:  2.9170
<p> =    0.475 [GeV/c], <eta> =  -2.35 -> dtheta:  2.3571, dphi:  2.9170
<p> =    0.525 [GeV/c], <eta> =  -2.35 -> dtheta:  2.1330, dphi:  2.6396
<p> =    0.525 [GeV/c], <eta> =  -2.35 -> dtheta:  2.1330, dphi:  2.6396
<p> =    0.575 [GeV/c], <eta> =  -2.35 -> dtheta:  1.9480, dphi:  2.4104
<p> =    0.575 [GeV/c], <eta> =  -2.35 -> dtheta:  1.9480, dphi:  2.4104
<p> =    0.650 [GeV/c], <eta> =  -2.35 -> dtheta:  1.7238, dphi:  2.1329
<p> =    0.650 [GeV/c], <eta> =  -2.35 -> dtheta:  1.7238, dphi:  2.1329
<p> =    0.750 [GeV/c], <eta> =  -2.35 -> dtheta:  1.4947, dphi:  1.8493
<p> =    0.750 [GeV/c], <eta> =  -2.35 -> dtheta:  1.4947, dphi:  1.8493
<p> =    0.850 [GeV/c], <eta> =  -2.35 -> dtheta:  1.3196, dphi:  1.6325
<p> =    0.850 [GeV/c], <eta> =  -2.35 -> dtheta:  1.3196, dphi:  1.6325
<p> =    0.950 [GeV/c], <eta> =  -2.35 -> dtheta:  1.1815, dphi:  1.4614
<p> =    0.950 [GeV/c], <eta> =  -2.35 -> dtheta:  1.1815, dphi:  1.4614
<p> =    1.250 [GeV/c], <eta> =  -2.35 -> dtheta:  0.9001, dphi:  1.1128
<p> =    1.250 [GeV/c], <eta> =  -2.35 -> dtheta:  0.9001, dphi:  1.1128
<p> =    1.750 [GeV/c], <eta> =  -2.35 -> dtheta:  0.6464, dphi:  0.7984
<p> =    1.750 [GeV/c], <eta> =  -2.35 -> dtheta:  0.6464, dphi:  0.7984
<p> =    2.250 [GeV/c], <eta> =  -2.35 -> dtheta:  0.5063, dphi:  0.6246
<p> =    2.250 [GeV/c], <eta> =  -2.35 -> dtheta:  0.5063, dphi:  0.6246
<p> =    2.750 [GeV/c], <eta> =  -2.35 -> dtheta:  0.4178, dphi:  0.5147
<p> =    2.750 [GeV/c], <eta> =  -2.35 -> dtheta:  0.4178, dphi:  0.5147
<p> =    3.250 [GeV/c], <eta> =  -2.35 -> dtheta:  0.3572, dphi:  0.4392
<p> =    3.250 [GeV/c], <eta> =  -2.35 -> dtheta:  0.3572, dphi:  0.4392
<p> =    3.750 [GeV/c], <eta> =  -2.35 -> dtheta:  0.3132, dphi:  0.3843
<p> =    3.750 [GeV/c], <eta> =  -2.35 -> dtheta:  0.3132, dphi:  0.3843
<p> =    4.250 [GeV/c], <eta> =  -2.35 -> dtheta:  0.2800, dphi:  0.3428
<p> =    4.250 [GeV/c], <eta> =  -2.35 -> dtheta:  0.2800, dphi:  0.3428
<p> =    4.750 [GeV/c], <eta> =  -2.35 -> dtheta:  0.2541, dphi:  0.3104
<p> =    4.750 [GeV/c], <eta> =  -2.35 -> dtheta:  0.2541, dphi:  0.3104
<p> =    5.250 [GeV/c], <eta> =  -2.35 -> dtheta:  0.2335, dphi:  0.2845
<p> =    5.250 [GeV/c], <eta> =  -2.35 -> dtheta:  0.2335, dphi:  0.2845
<p> =    0.075 [GeV/c], <eta> =  -1.70 -> dtheta: 12.6317, dphi: 14.7079
<p> =    0.075 [GeV/c], <eta> =  -1.70 -> dtheta: 12.6317, dphi: 14.7079
<p> =    0.125 [GeV/c], <eta> =  -1.70 -> dtheta:  7.5792, dphi:  8.8250
<p> =    0.125 [GeV/c], <eta> =  -1.70 -> dtheta:  7.5792, dphi:  8.8250
<p> =    0.175 [GeV/c], <eta> =  -1.70 -> dtheta:  5.4140, dphi:  6.3039
<p> =    0.175 [GeV/c], <eta> =  -1.70 -> dtheta:  5.4140, dphi:  6.3039
<p> =    0.225 [GeV/c], <eta> =  -1.70 -> dtheta:  4.2111, dphi:  4.9033
<p> =    0.225 [GeV/c], <eta> =  -1.70 -> dtheta:  4.2111, dphi:  4.9033
<p> =    0.275 [GeV/c], <eta> =  -1.70 -> dtheta:  3.4457, dphi:  4.0121
<p> =    0.275 [GeV/c], <eta> =  -1.70 -> dtheta:  3.4457, dphi:  4.0121
<p> =    0.325 [GeV/c], <eta> =  -1.70 -> dtheta:  2.9158, dphi:  3.3951
<p> =    0.325 [GeV/c], <eta> =  -1.70 -> dtheta:  2.9158, dphi:  3.3951
<p> =    0.375 [GeV/c], <eta> =  -1.70 -> dtheta:  2.5273, dphi:  2.9428
