Fit Function: TMath::Sqrt(A*A/p/p + B*B)
eta	 theta(deg)	 phi(deg)	 A(mrad*GeV/c)	 A_error(mrad*GeV/c)	 B(mrad)	 B_error(mrad)
-1.80	 161.20	 75.00	 8.94625	 0.01041	 0.11778	 0.00430
-2.00	 164.60	 75.00	 10.66608	 0.01247	 0.16708	 0.00445
-2.20	 167.40	 75.00	 10.45560	 0.01217	 0.15283	 0.00470
-2.40	 169.60	 75.00	 12.95601	 0.01529	 0.19061	 0.00577
-2.60	 171.50	 75.00	 16.25261	 0.01902	 0.31083	 0.00559
-2.79	 173.00	 75.00	 20.10263	 0.02393	 0.43041	 0.00649
-3.00	 174.30	 75.00	 25.21533	 0.03046	 0.74886	 0.00629
-3.19	 175.30	 75.00	 30.57967	 0.03829	 1.23431	 0.00642
-3.41	 176.20	 75.00	 37.86733	 0.04794	 1.91826	 0.00721
